SrNo,ID,Name,Phone No,Email,Address,Credits,Password,
1,1,Ram B,1234567890,ram@gmail.com,India,0,R&m12345,
2,2,Riya V,1234509876,riya@gmail.com,UK,0,r*yA1234,
3,3,Shital H,9087654321,shital@gmail.com,US,0,sHi&al12345,
4,4,Poonam A,1357908642,poo@gmail.com,UAE,0,poOn&m123,
5,5,Raghav T,2468097531,rag@gmail.com,NZ,0,R6ghav1234,
6,6,Dia M,1256890347,dia@gmail.com,China,0,Di0123456,
7,7,Sam V,9102837465,sam@gmail.com,Russia,0,s0M123456,
8,8,Kiara A,5647382910,kia@gmail.com,India,0,k!0rA123,
9,9,Neha P,1028374650,neha@gmail.com,India,0,123N&ha3,
10,10,Krupa C,9281037546,krupa@gmail.com,India,0,Krup#123,
