SrNo,ID,Name,Phone No,Email,Address,Credits,Password,
1,1,Ram B,1234567890,ram@gmail.com,,0,R&m12345,
2,2,Riya V,1234509876,riya@gmail.com,,0,r@yA1234,
3,3,Shital H,9087654321,shital@gmail.com,,0,sHi&al12345,
4,4,Poonam A,1357908642,poo@gmail.com,,0,pOOn@m123,
5,5,Raghav T,2468097531,rag@gmail.com,,0,R@ghav1234,
6,6,Dia M,1256890347,dia@gmail.com,,0,Di@123456,
7,7,Sam V,9102837465,sam@gmail.com,,0,s@M123456,
8,8,Kiara A,5647382910,kia@gmail.com,,0,kI@r@123,
9,9,Neha P,1028374650,neha@gmail.com,,0,123N&ha3,
10,10,Krupa C,9281037546,krupa@gmail.com,,0,Krup@123,
